Arafat;peace;6.73;0
Arafat;terror;7.65;0
Arafat;Jackson;2.50;0
FBI;fingerprint;6.94;0
FBI;investigation;8.31;0
Harvard;Yale;8.13;0
Japanese;American;6.50;0
Jerusalem;Israel;8.46;0
Jerusalem;Palestinian;7.65;0
Maradona;football;8.62;0
Mars;water;2.94;0
Mars;scientist;5.63;0
Mexico;Brazil;7.44;0
OPEC;country;5.63;0
OPEC;oil;8.59;0
Wednesday;news;2.22;0
admission;ticket;7.69;0.015284
alcohol;chemistry;5.54;0.0052897
aluminum;metal;7.83;0.18007
announcement;news;7.56;0.035874
announcement;effort;2.75;0.030247
announcement;warning;6.00;0.0296
announcement;production;3.38;0.01336
architecture;century;3.78;0.025354
arrangement;accommodation;5.41;0.016479
arrival;hotel;6.00;0.0075369
asylum;madhouse;8.87;0.016728
atmosphere;landscape;3.69;0.027577
attempt;peace;4.25;0.012921
baby;mother;7.85;0.06672
bank;money;8.12;0.031156
baseball;season;5.97;0.036658
bed;closet;6.72;0.043633
benchmark;index;4.25;0.0046921
bird;crane;7.38;0.058764
bird;cock;7.10;0.012709
bishop;rabbi;6.69;0.032692
board;recommendation;4.47;0.012699
book;paper;7.46;0.090049
book;library;7.46;0.040712
boxing;round;7.61;0.0070672
boy;lad;8.83;0.027756
bread;butter;6.19;0.085446
brother;monk;6.27;0.027101
calculation;computation;8.44;0.12827
canyon;landscape;7.53;0.032634
car;automobile;8.94;0.29567
car;flight;4.94;0.021472
cell;phone;7.81;0.0066917
cemetery;woodland;2.08;0.0068953
century;year;7.59;0.049812
century;nation;3.16;0.013771
championship;tournament;8.36;0.1597
chance;credibility;3.88;0.03143
change;attitude;5.44;0.011113
chord;smile;0.54;0.004592
closet;clothes;8.00;0.0079522
coast;shore;9.10;0.14765
coast;hill;4.38;0.040827
coast;forest;3.15;0.030203
company;stock;7.08;0.058857
competition;price;6.44;0.012904
computer;software;8.50;0.10885
computer;keyboard;7.62;0.054468
computer;internet;7.58;0.030515
computer;laboratory;6.78;0.025948
computer;news;4.47;0.0080935
concert;virtuoso;6.81;0.061531
consumer;energy;4.75;0.010364
consumer;confidence;4.13;0.0015811
