love;sex;6.77;1.000
tiger;cat;7.35;0.969
tiger;tiger;10.00;0.473
book;paper;7.46;1.000
computer;keyboard;7.62;0.961
computer;internet;7.58;0.709
plane;car;5.77;0.995
train;car;6.31;0.987
telephone;communication;7.50;0.806
television;radio;6.77;0.956
media;radio;7.42;0.973
drug;abuse;6.85;0.969
bread;butter;6.19;0.854
cucumber;potato;5.92;0.819
doctor;nurse;7.00;0.995
professor;doctor;6.62;0.853
student;professor;6.81;0.934
smart;student;4.62;0.971
smart;stupid;5.81;0.993
company;stock;7.08;1.000
stock;market;8.08;0.999
stock;phone;1.62;0.992
stock;CD;1.31;0.992
stock;jaguar;0.92;0.984
stock;egg;1.81;0.995
fertility;egg;6.69;0.852
stock;live;3.73;0.998
stock;life;0.92;0.992
book;library;7.46;0.998
bank;money;8.12;0.983
wood;forest;7.73;0.965
money;cash;9.15;0.966
professor;cucumber;0.31;0.421
king;cabbage;0.23;0.975
king;queen;8.58;0.997
king;rook;5.92;0.958
bishop;rabbi;6.69;0.961
Jerusalem;Israel;8.46;0.424
Jerusalem;Palestinian;7.65;0.828
holy;sex;1.62;0.968
fuck;sex;9.44;0.782
Maradona;football;8.62;0
football;soccer;9.03;0.911
football;basketball;6.81;0.993
football;tennis;6.63;0.916
tennis;racket;7.56;0.986
Arafat;peace;6.73;0.852
Arafat;terror;7.65;0.903
Arafat;Jackson;2.50;0.895
law;lawyer;8.38;0.537
movie;star;7.38;0.916
movie;popcorn;6.19;0.838
movie;critic;6.73;0.913
movie;theater;7.92;0.734
physics;proton;8.12;0.667
physics;chemistry;7.35;0.905
space;chemistry;4.88;0.874
alcohol;chemistry;5.54;0.945
vodka;gin;8.46;0.835
vodka;brandy;8.13;0.973
drink;car;3.04;0.990
drink;ear;1.31;0.944
drink;mouth;5.96;0.998
drink;eat;6.87;0.980
baby;mother;7.85;0.999
drink;mother;2.65;0.998
car;automobile;8.94;0.817
gem;jewel;8.96;0.988
journey;voyage;9.29;0.934
boy;lad;8.83;0.707
coast;shore;9.10;0.975
asylum;madhouse;8.87;0.769
magician;wizard;9.02;0.851
midday;noon;9.29;0.436
furnace;stove;8.79;0.220
food;fruit;7.52;0.999
bird;cock;7.10;0.918
bird;crane;7.38;0.980
tool;implement;6.46;1.000
brother;monk;6.27;0.893
crane;implement;2.69;0.983
lad;brother;4.46;0.969
journey;car;5.85;0.819
monk;oracle;5.00;0.515
cemetery;woodland;2.08;0.760
food;rooster;4.42;0.904
coast;hill;4.38;0.988
forest;graveyard;1.85;0.959
shore;woodland;3.08;0.910
monk;slave;0.92;0.744
coast;forest;3.15;0.941
lad;wizard;0.92;0.991
chord;smile;0.54;0.942
glass;magician;2.08;0.974
noon;string;0.54;0.959
rooster;voyage;0.62;0.826
money;dollar;8.42;0.985
money;cash;9.08;0.966
money;currency;9.04;0.998
money;wealth;8.27;0.807
money;property;7.57;0.920
money;possession;7.29;0.998
money;bank;8.50;0.983
