automobile;car;3.92;1
gem;jewel;3.84;0.36892
journey;voyage;3.84;0.72218
boy;lad;3.76;0.82687
coast;shore;3.70;0.68534
asylum;madhouse;3.61;0.19775
magician;wizard;3.50;0.39074
midday;noon;3.42;0.93316
furnace;stove;3.11;0.51304
food;fruit;3.08;0.63345
bird;cock;3.05;0.56992
bird;crane;2.97;0.46345
implement;tool;2.95;0.22194
brother;monk;2.82;0.028592
brother;lad;1.66;0.37421
crane;implement;1.68;0
car;journey;1.16;0.17249
monk;oracle;1.10;0.094357
cemetery;woodland;0.95;0
food;rooster;0.89;0.058265
coast;hill;0.87;0.062104
forest;graveyard;0.84;0
shore;woodland;0.63;0.24735
monk;slave;0.55;0
coast;forest;0.42;0.18776
lad;wizard;0.42;0.29232
cord;smile;0.13;0.026508
glass;magician;0.11;0.2793
rooster;voyage;0.08;0.0094243
noon;string;0.08;0.13659
