love;sex;6.77;0.23172
tiger;cat;7.35;0.34941
tiger;tiger;10.00;1
book;paper;7.46;0.096915
computer;keyboard;7.62;0.82897
computer;internet;7.58;0
plane;car;5.77;0.031182
train;car;6.31;0.3186
telephone;communication;7.50;0.48163
television;radio;6.77;0.77394
media;radio;7.42;0.55204
drug;abuse;6.85;0.84706
bread;butter;6.19;0.78494
cucumber;potato;5.92;0.36639
doctor;nurse;7.00;0.52195
professor;doctor;6.62;0.16986
student;professor;6.81;0.16975
smart;student;4.62;0.086188
smart;stupid;5.81;0.51809
company;stock;7.08;0.3726
stock;market;8.08;0.43708
stock;phone;1.62;0.010733
stock;CD;1.31;0.12564
stock;jaguar;0.92;0
stock;egg;1.81;0
fertility;egg;6.69;0.20571
stock;live;3.73;0.021934
stock;life;0.92;0.022561
book;library;7.46;0.67604
bank;money;8.12;0.34144
wood;forest;7.73;0.23633
money;cash;9.15;0.22812
professor;cucumber;0.31;0.029487
king;cabbage;0.23;0.0028222
king;queen;8.58;0.78225
king;rook;5.92;0
bishop;rabbi;6.69;0.29278
Jerusalem;Israel;8.46;0.78953
Jerusalem;Palestinian;7.65;0.7582
holy;sex;1.62;0.0098594
fuck;sex;9.44;0.20679
Maradona;football;8.62;0
football;soccer;9.03;0.85081
football;basketball;6.81;0.90685
football;tennis;6.63;0.69757
tennis;racket;7.56;0.55846
Arafat;peace;6.73;0
Arafat;terror;7.65;0
Arafat;Jackson;2.50;0
law;lawyer;8.38;0.48692
movie;star;7.38;0.19881
movie;popcorn;6.19;0.31868
movie;critic;6.73;0.10057
movie;theater;7.92;0.54346
physics;proton;8.12;0.1242
physics;chemistry;7.35;0.68152
space;chemistry;4.88;0.12858
alcohol;chemistry;5.54;0.059189
vodka;gin;8.46;0.43902
vodka;brandy;8.13;0.60825
drink;car;3.04;0.060712
drink;ear;1.31;0.027497
drink;mouth;5.96;0.12883
drink;eat;6.87;0.28712
baby;mother;7.85;0.42206
drink;mother;2.65;0.10206
car;automobile;8.94;0.57244
gem;jewel;8.96;0.21119
journey;voyage;9.29;0.41341
boy;lad;8.83;0.47334
coast;shore;9.10;0.39232
asylum;madhouse;8.87;0.1132
magician;wizard;9.02;0.22367
midday;noon;9.29;0.53418
furnace;stove;8.79;0.29369
food;fruit;7.52;0.36262
bird;cock;7.10;0.32625
bird;crane;7.38;0.2653
tool;implement;6.46;0.12705
brother;monk;6.27;0.016367
crane;implement;2.69;0
lad;brother;4.46;0.21421
journey;car;5.85;0.09874
monk;oracle;5.00;0.054014
cemetery;woodland;2.08;0
food;rooster;4.42;0.033353
coast;hill;4.38;0.035551
forest;graveyard;1.85;0
shore;woodland;3.08;0.14159
monk;slave;0.92;0
coast;forest;3.15;0.10748
lad;wizard;0.92;0.16733
chord;smile;0.54;0.05946
glass;magician;2.08;0.15988
noon;string;0.54;0.078191
rooster;voyage;0.62;0.0053949
money;dollar;8.42;0.63165
money;cash;9.08;0.22812
money;currency;9.04;0.58437
money;wealth;8.27;0.27362
money;property;7.57;0.16512
money;possession;7.29;0.10219
money;bank;8.50;0.34144
money;deposit;7.73;0.31723
money;withdrawal;6.88;0.082306
money;laundering;5.65;0.057008
money;operation;3.31;0.10611
tiger;jaguar;8.00;0.2056
tiger;feline;8.00;0.19238
tiger;carnivore;7.08;0.097728
tiger;mammal;6.85;0.072606
tiger;animal;7.00;0.35141
tiger;organism;4.77;0.013871
tiger;fauna;5.62;0.19353
tiger;zoo;5.87;0.39136
psychology;psychiatry;8.08;0.47088
psychology;anxiety;7.00;0.32882
psychology;fear;6.85;0.12517
psychology;depression;7.42;0.090835
psychology;clinic;6.58;0.15696
psychology;doctor;6.42;0.02791
psychology;Freud;8.21;0.55032
psychology;mind;7.69;0.20924
psychology;health;7.23;0.018881
psychology;science;6.71;0.40853
psychology;discipline;5.58;0.55191
psychology;cognition;7.48;0.61179
planet;star;8.45;0.27826
planet;constellation;8.06;0
planet;moon;8.08;0.20933
planet;sun;8.02;0.40299
planet;galaxy;8.11;0.44995
planet;space;7.92;0.40215
planet;astronomer;7.94;0.51587
precedent;example;5.85;0.15721
precedent;information;3.85;0.014058
precedent;cognition;2.81;0
precedent;law;6.65;0.60131
precedent;collection;2.50;0.17142
precedent;group;1.77;0.060568
precedent;antecedent;6.04;0.021345
cup;coffee;6.58;0.66967
cup;tableware;6.85;0.13569
cup;article;2.40;0.038603
cup;artifact;2.92;0.0095582
cup;object;3.69;0.10525
cup;entity;2.15;0.028964
cup;drink;7.25;0.40373
cup;food;5.00;0.12259
cup;substance;1.92;0.13479
cup;liquid;5.90;0.20987
jaguar;cat;7.42;0.09427
jaguar;car;7.27;0.15904
energy;secretary;1.81;0.0127
secretary;senate;5.06;0.29339
energy;laboratory;5.09;0.093297
computer;laboratory;6.78;0.052137
weapon;secret;6.06;0.39344
FBI;fingerprint;6.94;0.10856
FBI;investigation;8.31;0.43872
investigation;effort;4.59;0.17914
Mars;water;2.94;0.0657
Mars;scientist;5.63;0.10702
news;report;8.16;0.32212
canyon;landscape;7.53;0.42113
image;surface;4.56;0.16871
discovery;space;6.34;0.096351
water;seepage;6.56;0.35099
sign;recess;2.38;0.15084
Wednesday;news;2.22;0.16068
mile;kilometer;8.66;0.44473
computer;news;4.47;0.047043
territory;surface;5.34;0.047977
atmosphere;landscape;3.69;0.13229
president;medal;3.00;0.08836
war;troops;8.13;0.63163
record;number;6.31;0.21471
skin;eye;6.22;0.13771
Japanese;American;6.50;0.23857
theater;history;3.91;0.16833
volunteer;motto;2.56;0.17994
prejudice;recognition;3.00;0.19036
decoration;valor;5.63;0.041667
century;year;7.59;0.12732
century;nation;3.16;0.28224
delay;racism;1.19;0.082402
delay;news;3.31;0.094291
minister;party;6.63;0.22011
peace;plan;4.75;0.17185
minority;peace;3.69;0.091119
attempt;peace;4.25;0.21896
government;crisis;6.56;0.35567
deployment;departure;4.25;0.12792
deployment;withdrawal;5.88;0.1221
energy;crisis;5.94;0.14972
announcement;news;7.56;0.43143
announcement;effort;2.75;0.22935
stroke;hospital;7.03;0.040306
disability;death;5.47;0.37111
victim;emergency;6.47;0.66782
treatment;recovery;7.91;0.3711
journal;association;4.97;0.030044
doctor;personnel;5.00;0.094795
doctor;liability;5.19;0.018133
liability;insurance;7.03;0.67341
school;center;3.44;0.090037
reason;hypertension;2.31;0.05999
reason;criterion;5.91;0.085663
hundred;percent;7.38;0.04551
Harvard;Yale;8.13;0.73384
hospital;infrastructure;4.63;0.038269
death;row;5.25;0.11189
death;inmate;5.03;0.079779
lawyer;evidence;6.69;0.30153
life;death;7.88;0.54048
life;term;4.50;0.23357
word;similarity;4.75;0.1698
board;recommendation;4.47;0.12613
governor;interview;3.25;0.021868
OPEC;country;5.63;0.12953
peace;atmosphere;3.69;0.036564
peace;insurance;2.94;0
territory;kilometer;5.28;0.057543
travel;activity;5.00;0.11047
competition;price;6.44;0.55435
consumer;confidence;4.13;0.13026
consumer;energy;4.75;0.033572
problem;airport;2.38;0.074925
car;flight;4.94;0.041878
credit;card;8.06;0.25861
credit;information;5.31;0.14624
hotel;reservation;8.03;0.17533
grocery;money;5.94;0.26293
registration;arrangement;6.00;0.14117
arrangement;accommodation;5.41;0.14457
month;hotel;1.81;0.16407
type;kind;8.97;0.2885
