automobile;car;3.92;9519
gem;jewel;3.84;2431
journey;voyage;3.84;180
boy;lad;3.76;152
coast;shore;3.70;330
asylum;madhouse;3.61;104
magician;wizard;3.50;421
midday;noon;3.42;152
furnace;stove;3.11;190
food;fruit;3.08;128
bird;cock;3.05;147
bird;crane;2.97;74
implement;tool;2.95;509
brother;monk;2.82;503
brother;lad;1.66;29
crane;implement;1.68;48
car;journey;1.16;179
monk;oracle;1.10;30
cemetery;woodland;0.95;21
food;rooster;0.89;19
coast;hill;0.87;123
forest;graveyard;0.84;21
shore;woodland;0.63;70
monk;slave;0.55;74
coast;forest;0.42;94
lad;wizard;0.42;13
cord;smile;0.13;34
glass;magician;0.11;26
rooster;voyage;0.08;10
noon;string;0.08;16
