love;sex;6.77;119
tiger;cat;7.35;498
tiger;tiger;10.00;568
book;paper;7.46;237
computer;keyboard;7.62;775
computer;internet;7.58;77
plane;car;5.77;522
train;car;6.31;475
telephone;communication;7.50;86
television;radio;6.77;151
media;radio;7.42;51
drug;abuse;6.85;43
bread;butter;6.19;85
cucumber;potato;5.92;48
doctor;nurse;7.00;283
professor;doctor;6.62;78
student;professor;6.81;134
smart;student;4.62;30
smart;stupid;5.81;17
company;stock;7.08;169
stock;market;8.08;119
stock;phone;1.62;121
stock;CD;1.31;110
stock;jaguar;0.92;52
stock;egg;1.81;133
fertility;egg;6.69;32
stock;live;3.73;79
stock;life;0.92;66
book;library;7.46;116
bank;money;8.12;86
wood;forest;7.73;1804
money;cash;9.15;152
professor;cucumber;0.31;29
king;cabbage;0.23;51
king;queen;8.58;373
king;rook;5.92;239
bishop;rabbi;6.69;98
Jerusalem;Israel;8.46;2401
Jerusalem;Palestinian;7.65;45
holy;sex;1.62;56
fuck;sex;9.44;742
Maradona;football;8.62;0
football;soccer;9.03;1362
football;basketball;6.81;539
football;tennis;6.63;144
tennis;racket;7.56;69
Arafat;peace;6.73;9
Arafat;terror;7.65;10
Arafat;Jackson;2.50;14
law;lawyer;8.38;183
movie;star;7.38;185
movie;popcorn;6.19;31
movie;critic;6.73;80
movie;theater;7.92;229
physics;proton;8.12;23
physics;chemistry;7.35;414
space;chemistry;4.88;78
alcohol;chemistry;5.54;82
vodka;gin;8.46;134
vodka;brandy;8.13;132
drink;car;3.04;170
drink;ear;1.31;60
drink;mouth;5.96;74
drink;eat;6.87;78
baby;mother;7.85;117
drink;mother;2.65;83
car;automobile;8.94;9519
gem;jewel;8.96;2431
journey;voyage;9.29;180
boy;lad;8.83;152
coast;shore;9.10;330
asylum;madhouse;8.87;104
magician;wizard;9.02;421
midday;noon;9.29;152
furnace;stove;8.79;190
food;fruit;7.52;128
bird;cock;7.10;147
bird;crane;7.38;74
tool;implement;6.46;509
brother;monk;6.27;503
crane;implement;2.69;48
lad;brother;4.46;29
journey;car;5.85;179
monk;oracle;5.00;30
cemetery;woodland;2.08;21
food;rooster;4.42;19
coast;hill;4.38;123
forest;graveyard;1.85;21
shore;woodland;3.08;70
monk;slave;0.92;74
coast;forest;3.15;94
lad;wizard;0.92;13
chord;smile;0.54;22
glass;magician;2.08;26
noon;string;0.54;16
rooster;voyage;0.62;10
money;dollar;8.42;63
money;cash;9.08;152
money;currency;9.04;538
money;wealth;8.27;190
money;property;7.57;159
money;possession;7.29;54
money;bank;8.50;86
money;deposit;7.73;103
money;withdrawal;6.88;50
money;laundering;5.65;8
money;operation;3.31;94
tiger;jaguar;8.00;295
tiger;feline;8.00;229
tiger;carnivore;7.08;28
tiger;mammal;6.85;49
tiger;animal;7.00;41
tiger;organism;4.77;40
tiger;fauna;5.62;41
tiger;zoo;5.87;5
psychology;psychiatry;8.08;70
psychology;anxiety;7.00;34
psychology;fear;6.85;48
psychology;depression;7.42;59
psychology;clinic;6.58;22
psychology;doctor;6.42;79
psychology;Freud;8.21;9
psychology;mind;7.69;36
psychology;health;7.23;16
psychology;science;6.71;184
psychology;discipline;5.58;144
psychology;cognition;7.48;86
planet;star;8.45;292
planet;constellation;8.06;164
planet;moon;8.08;46
planet;sun;8.02;419
planet;galaxy;8.11;162
planet;space;7.92;101
planet;astronomer;7.94;175
precedent;example;5.85;340
precedent;information;3.85;164
precedent;cognition;2.81;25
precedent;law;6.65;220
precedent;collection;2.50;56
precedent;group;1.77;33
precedent;antecedent;6.04;37
cup;coffee;6.58;88
cup;tableware;6.85;110
cup;article;2.40;71
cup;artifact;2.92;91
cup;object;3.69;92
cup;entity;2.15;15
cup;drink;7.25;83
cup;food;5.00;116
cup;substance;1.92;93
cup;liquid;5.90;75
jaguar;cat;7.42;673
jaguar;car;7.27;46
energy;secretary;1.81;91
secretary;senate;5.06;14
energy;laboratory;5.09;39
computer;laboratory;6.78;60
weapon;secret;6.06;51
FBI;fingerprint;6.94;43
FBI;investigation;8.31;30
investigation;effort;4.59;69
Mars;water;2.94;103
Mars;scientist;5.63;43
news;report;8.16;147
canyon;landscape;7.53;13
image;surface;4.56;165
discovery;space;6.34;32
